City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Bilma,NE,2021-01-19 19:27:40,18.6853,12.9164,65.37,26,0,9.1
91,Tavda,RU,2021-01-19 19:27:40,58.0425,65.2726,-7.42,88,100,4.81
92,Pangnirtung,CA,2021-01-19 19:27:40,66.1451,-65.7125,33.8,51,75,19.57
93,Vestmannaeyjar,IS,2021-01-19 19:27:40,63.4427,-20.2734,37.4,56,40,18.41
94,Seoul,KR,2021-01-19 19:26:08,37.5683,126.9778,17.6,79,0,3.44
95,Pisco,PE,2021-01-19 19:27:40,-13.7,-76.2167,80.6,61,0,20.71
96,Arraial Do Cabo,BR,2021-01-19 19:27:40,-22.9661,-42.0278,86.0,61,0,12.66
97,Moree,AU,2021-01-19 19:27:40,-29.4667,149.85,66.2,77,0,9.22
98,Port Alfred,ZA,2021-01-19 19:27:41,-33.5906,26.891,66.99,95,58,5.99
99,Priladozhskiy,RU,2021-01-19 19:27:41,59.85,31.4833,23.0,86,40,2.24
100,Provideniya,RU,2021-01-19 19:27:41,64.3833,-173.3,-10.8,86,62,6.67
101,Alausi,EC,2021-01-19 19:27:41,-2.2,-78.8333,66.2,45,75,20.71
102,Liverpool,GB,2021-01-19 19:24:53,53.4106,-2.9779,50.0,93,75,16.11
103,Kahului,US,2021-01-19 19:23:42,20.8947,-156.47,72.0,73,20,8.05
104,Araouane,ML,2021-01-19 19:27:41,18.9048,-3.5265,74.16,19,73,8.88
105,Monywa,MM,2021-01-19 19:27:42,22.1167,95.1333,64.29,65,0,3.56
106,Kaitangata,NZ,2021-01-19 19:27:42,-46.2817,169.8464,48.99,68,46,8.99
107,Tautira,PF,2021-01-19 19:27:42,-17.7333,-149.15,86.0,54,20,12.66
108,Touros,BR,2021-01-19 19:27:42,-5.1989,-35.4608,82.4,69,75,13.8
109,Nikolskoye,RU,2021-01-19 19:27:42,59.7035,30.7861,23.0,86,40,2.24
110,Kapaa,US,2021-01-19 19:27:42,22.0752,-159.319,69.8,94,90,16.11
111,Pandan,PH,2021-01-19 19:27:42,14.0453,124.1694,76.73,90,100,7.27
112,Coos Bay,US,2021-01-19 19:27:43,43.3665,-124.2179,53.01,46,1,9.22
113,Aswan,EG,2021-01-19 19:27:43,24.0934,32.907,56.52,38,53,11.12
114,Along,IN,2021-01-19 19:27:43,28.1667,94.7667,54.45,80,100,1.3
115,Yellowknife,CA,2021-01-19 19:23:49,62.456,-114.3525,15.8,92,90,19.57
116,Wageningen,NL,2021-01-19 19:27:43,51.9667,5.6667,48.2,87,90,17.27
117,Nyurba,RU,2021-01-19 19:27:43,63.2842,118.3319,-46.35,76,100,7.4
118,Kaili,ID,2021-01-19 19:27:43,-3.4626,120.2147,67.37,78,100,2.73
119,Severo-Kurilsk,RU,2021-01-19 19:27:44,50.6789,156.125,14.27,86,94,23.33
120,Porto Novo,BJ,2021-01-19 19:27:44,6.4965,2.6036,82.4,83,20,10.36
121,Horsham,GB,2021-01-19 19:26:44,51.064,-0.3272,50.0,87,75,16.11
122,Acapulco,MX,2021-01-19 19:25:05,16.8634,-99.8901,86.0,62,90,6.91
123,Castro,BR,2021-01-19 19:27:44,-24.7911,-50.0119,69.84,89,100,9.26
124,Kruisfontein,ZA,2021-01-19 19:27:44,-34.0033,24.7314,70.0,79,2,5.01
125,Yelizovo,RU,2021-01-19 19:27:44,53.1873,158.3805,19.4,53,40,13.42
126,Qaanaaq,GL,2021-01-19 19:27:44,77.484,-69.3632,0.97,72,98,8.5
127,Artigas,UY,2021-01-19 19:27:44,-30.4,-56.4667,90.01,20,0,13.69
128,Tiarei,PF,2021-01-19 19:27:45,-17.5333,-149.3333,86.0,54,20,12.66
129,Sibolga,ID,2021-01-19 19:27:45,1.7427,98.7792,76.57,78,100,3.13
130,Tsumeb,NA,2021-01-19 19:27:45,-19.2333,17.7167,71.6,83,100,5.75
131,Meulaboh,ID,2021-01-19 19:27:45,4.1363,96.1285,75.88,88,95,3.67
132,Kwinana,AU,2021-01-19 19:27:45,-32.25,115.7667,73.99,88,90,5.01
133,Bubaque,GW,2021-01-19 19:23:46,11.2833,-15.8333,81.37,49,43,10.49
134,Parkersburg,US,2021-01-19 19:25:53,39.2667,-81.5615,44.6,45,20,9.22
135,Vestmanna,FO,2021-01-19 19:24:29,62.1564,-7.1664,35.6,87,20,17.27
136,Sarankhola,BD,2021-01-19 19:27:45,22.3082,89.7897,62.67,85,0,3.83
137,Chuy,UY,2021-01-19 19:27:46,-33.6971,-53.4616,79.88,45,0,9.06
138,Mbanza-Ngungu,CD,2021-01-19 19:27:46,-5.25,14.8667,68.9,98,100,3.13
139,Livingston,GB,2021-01-19 19:26:02,55.9029,-3.5226,37.0,100,90,6.91
140,Harper,LR,2021-01-19 19:27:46,4.375,-7.7169,79.93,80,0,6.44
141,Iqaluit,CA,2021-01-19 19:27:46,63.7506,-68.5145,30.2,93,90,6.91
142,Tuatapere,NZ,2021-01-19 19:27:46,-46.1333,167.6833,47.93,88,100,14.79
143,Okhotsk,RU,2021-01-19 19:27:46,59.3833,143.3,-3.39,85,100,8.72
144,Saint George,US,2021-01-19 19:27:47,37.1041,-113.5841,51.01,31,1,6.91
145,Kutum,SD,2021-01-19 19:27:47,14.2,24.6667,58.32,33,49,13.98
146,Airai,TL,2021-01-19 19:27:47,-8.9266,125.4092,61.14,100,100,3.06
147,Etzatlan,MX,2021-01-19 19:27:47,20.7667,-104.0833,82.63,28,53,3.15
148,Poronaysk,RU,2021-01-19 19:27:47,49.2167,143.1167,-11.31,84,77,5.99
149,Qeshm,IR,2021-01-19 19:27:47,26.9581,56.2719,69.8,77,0,6.91
150,Amuntai,ID,2021-01-19 19:27:47,-2.4177,115.2494,75.0,92,100,2.44
151,Hauterive,FR,2021-01-19 19:27:47,46.0901,3.4459,44.6,36,0,5.75
152,Norman Wells,CA,2021-01-19 19:27:47,65.282,-126.8329,12.2,79,90,12.66
153,Magadan,RU,2021-01-19 19:27:48,59.5667,150.8,-16.13,77,98,11.1
154,Gravdal,NO,2021-01-19 19:27:48,68.1214,13.5031,26.6,68,20,8.05
155,Konch,IN,2021-01-19 19:27:48,25.9833,79.15,56.73,74,0,5.95
156,Ponta Do Sol,PT,2021-01-19 19:27:48,32.6667,-17.1,60.01,63,97,5.01
157,Sironj,IN,2021-01-19 19:27:17,24.1,77.7,59.4,50,0,6.38
158,Inhambane,MZ,2021-01-19 19:27:48,-23.865,35.3833,78.8,89,40,5.75
159,Hueypoxtla,MX,2021-01-19 19:27:48,19.9083,-99.08,71.6,30,40,5.75
