City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Cape Town,ZA,2021-01-24 21:21:33,-33.9258,18.4232,66.99,55,0,10.36
118,Illapel,CL,2021-01-24 21:23:47,-31.6308,-71.1653,80.4,41,1,9.15
119,Portland,US,2021-01-24 21:20:41,45.5234,-122.6762,39.99,87,90,6.91
120,Yulara,AU,2021-01-24 21:23:47,-25.2406,130.9889,77.0,78,4,8.05
121,Slupsk,PL,2021-01-24 21:23:47,54.4641,17.0287,34.2,97,100,4.12
122,Ajra,IN,2021-01-24 21:23:48,16.1167,74.2,68.85,60,100,2.04
123,Bystrice Pod Hostynem,CZ,2021-01-24 21:23:39,49.3992,17.674,30.99,92,100,2.89
124,Chapais,CA,2021-01-24 21:17:40,49.7834,-74.8492,5.0,78,90,9.22
125,Rawson,AR,2021-01-24 21:20:52,-43.3002,-65.1023,79.34,52,1,13.53
126,Cabo San Lucas,MX,2021-01-24 21:20:33,22.8909,-109.9124,72.0,52,1,18.41
127,Lompoc,US,2021-01-24 21:17:28,34.6391,-120.4579,55.4,67,90,13.8
128,Castro,BR,2021-01-24 21:21:41,-24.7911,-50.0119,68.58,92,100,3.4
129,Dharchula,IN,2021-01-24 21:23:48,29.85,80.5333,44.62,43,0,6.71
130,Mount Isa,AU,2021-01-24 21:22:14,-20.7333,139.5,80.6,65,92,5.75
131,Port Hardy,CA,2021-01-24 21:21:34,50.6996,-127.4199,39.2,93,90,6.91
132,Sistranda,NO,2021-01-24 21:23:49,63.7256,8.834,32.0,86,0,6.91
133,Cayenne,GF,2021-01-24 21:21:43,4.9333,-52.3333,80.6,78,75,8.05
134,Kiama,AU,2021-01-24 21:23:49,-34.6833,150.8667,78.01,88,62,8.99
135,Bandraboua,YT,2021-01-24 21:23:49,-12.7044,45.1223,75.2,94,0,3.44
136,Ca Mau,VN,2021-01-24 21:21:46,9.1769,105.15,73.09,85,66,3.62
137,Qaanaaq,GL,2021-01-24 21:21:44,77.484,-69.3632,7.72,79,0,3.11
138,Lasa,IT,2021-01-24 21:23:49,46.6166,10.7002,28.4,74,0,2.3
139,Grindavik,IS,2021-01-24 21:22:18,63.8424,-22.4338,28.4,69,0,20.71
140,Komsomolskiy,UZ,2021-01-24 21:22:51,40.4272,71.7189,24.8,68,6,4.61
141,Faanui,PF,2021-01-24 21:21:35,-16.4833,-151.75,81.32,73,0,12.71
142,Buckeye,US,2021-01-24 21:23:50,33.3703,-112.5838,55.0,66,1,12.66
143,Ndungu,TZ,2021-01-24 21:23:50,-4.3667,38.05,70.77,84,100,3.6
144,Khatanga,RU,2021-01-24 21:21:47,71.9667,102.5,-18.98,87,100,10.16
145,Avera,US,2021-01-24 21:23:50,33.194,-82.5271,57.2,51,90,4.61
146,Oranjemund,NA,2021-01-24 21:14:09,-28.55,16.4333,62.51,80,0,15.66
147,Mahebourg,MU,2021-01-24 21:22:21,-20.4081,57.7,77.0,88,40,6.91
148,Carros,FR,2021-01-24 21:23:50,43.7894,7.184,51.8,37,0,16.11
149,Hervey Bay,AU,2021-01-24 21:23:51,-25.2986,152.8535,73.4,88,77,9.22
150,Manado,ID,2021-01-24 21:13:58,1.487,124.8455,73.4,94,40,2.3
151,Port Blair,IN,2021-01-24 21:22:08,11.6667,92.75,74.53,69,57,7.9
152,Severo-Kurilsk,RU,2021-01-24 21:22:04,50.6789,156.125,17.92,95,100,11.99
153,Bandarbeyla,SO,2021-01-24 21:14:22,9.4942,50.8122,74.84,69,98,20.4
154,Sabang,ID,2021-01-24 21:23:51,5.8933,95.3214,80.62,80,64,14.27
155,Nouadhibou,MR,2021-01-24 21:23:51,20.931,-17.0347,69.8,64,0,12.66
156,Devils Lake,US,2021-01-24 21:23:00,48.1128,-98.8651,3.0,71,90,9.22
157,Zambezi,ZM,2021-01-24 21:23:51,-13.5432,23.1047,66.0,94,100,9.15
158,Chenghai,CN,2021-01-24 21:23:51,23.4632,116.768,59.0,77,75,4.47
159,Maldonado,UY,2021-01-24 21:11:26,-34.6667,-54.9167,81.0,65,20,14.97
160,Anadyr,RU,2021-01-24 21:21:36,64.75,177.4833,-18.4,76,0,2.24
161,Adrar,MR,2021-01-24 21:21:59,20.5022,-10.0711,68.86,17,100,8.66
162,Basco,PH,2021-01-24 21:14:14,20.4487,121.9702,71.47,83,96,26.06
163,Berlevag,NO,2021-01-24 21:21:41,70.8578,29.0864,21.2,79,75,11.5
164,Khorixas,NA,2021-01-24 21:23:52,-20.3667,14.9667,67.68,82,100,12.88
165,Kangaatsiaq,GL,2021-01-24 21:21:50,68.3065,-53.4641,9.19,82,0,3.42
166,Andenes,NO,2021-01-24 21:22:05,69.3143,16.1194,21.2,79,75,9.22
167,Thinadhoo,MV,2021-01-24 21:13:58,0.5333,72.9333,81.82,72,100,5.75
168,Hofn,IS,2021-01-24 21:23:53,64.2539,-15.2082,28.29,88,0,19.91
169,Onda,ES,2021-01-24 21:23:53,39.9667,-0.25,55.0,58,0,6.91
170,Grand Valley,CA,2021-01-24 21:23:53,43.9001,-80.3164,25.0,68,100,5.75
171,Bartica,GY,2021-01-24 21:23:53,6.4,-58.6167,82.4,74,20,11.5
172,Upernavik,GL,2021-01-24 21:21:47,72.7868,-56.1549,14.54,93,34,14.45
173,Port Macquarie,AU,2021-01-24 21:21:53,-31.4333,152.9167,71.01,96,17,11.25
174,Iqaluit,CA,2021-01-24 21:22:31,63.7506,-68.5145,1.4,78,20,2.3
175,Mayya,RU,2021-01-24 21:23:53,61.7333,130.2811,-59.8,51,90,1.48
176,Victoria,HK,2021-01-24 21:20:07,22.2855,114.1577,64.0,76,89,18.7
177,Ilulissat,GL,2021-01-24 21:21:42,69.2167,-51.1,17.6,38,0,8.05
178,Korla,CN,2021-01-24 21:23:54,41.7597,86.1469,21.0,82,26,3.8
179,Parrita,CR,2021-01-24 21:23:54,9.5201,-84.3225,82.4,47,20,16.11
180,Codrington,AU,2021-01-24 21:21:55,-38.2667,141.9667,69.8,50,65,5.5
181,Ahipara,NZ,2021-01-24 21:22:00,-35.1667,173.1667,69.57,86,51,7.9
182,Batangafo,CF,2021-01-24 21:23:54,7.3008,18.2833,77.0,21,81,2.26
183,Matagami,CA,2021-01-24 21:23:54,49.7502,-77.6328,3.2,66,1,3.44
184,Kahului,US,2021-01-24 21:22:43,20.8947,-156.47,82.4,51,20,3.44
185,Zarechnyy,RU,2021-01-24 21:23:55,53.2036,45.1923,35.01,99,100,11.21
186,Katangli,RU,2021-01-24 21:14:25,51.7102,143.2326,-22.22,81,0,10.13
187,Faya,SA,2021-01-24 21:15:41,18.3851,42.4509,59.0,41,0,1.41
188,Askiz,RU,2021-01-24 21:23:55,53.1319,90.5264,-2.76,83,100,13.44
189,Coihaique,CL,2021-01-24 21:18:05,-45.5752,-72.0662,60.8,41,75,5.75
190,De-Kastri,RU,2021-01-24 21:23:55,51.4667,140.7833,-10.95,75,0,13.65
191,Paso De Carrasco,UY,2021-01-24 21:20:24,-34.8603,-56.0522,84.2,69,0,14.97
192,Inhambane,MZ,2021-01-24 21:23:55,-23.865,35.3833,80.17,86,99,8.41
193,Batemans Bay,AU,2021-01-24 21:23:55,-35.7167,150.1833,75.0,96,46,1.99
194,Palasa,IN,2021-01-24 21:23:56,18.7667,84.4167,68.5,85,58,3.22
195,Tuatapere,NZ,2021-01-24 21:21:52,-46.1333,167.6833,60.01,85,99,18.99
196,Longyearbyen,SJ,2021-01-24 21:21:36,78.2186,15.6401,15.8,57,20,5.75
197,Vao,NC,2021-01-24 21:23:56,-22.6667,167.4833,76.24,76,100,23.69
198,Meulaboh,ID,2021-01-24 21:22:26,4.1363,96.1285,76.44,87,91,4.18
