City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
335,Nhulunbuy,AU,77.0,-12.2333,136.7667,East Arnhem Real Estate
338,Isla Mujeres,MX,80.6,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
343,Ati,TD,76.53,13.2154,18.3353,
346,Anito,PH,75.63,12.4497,125.2886,The Yellow House
351,Kavieng,PG,82.98,-2.5744,150.7967,Nusa Island Retreat
353,Iquique,CL,73.4,-20.2208,-70.1431,Backpacker`s Hostel Iquique
354,Flinders,AU,75.99,-34.5833,150.8552,Shellharbour Resort & Conference Centre
355,Luwuk,ID,77.65,-0.9516,122.7875,Hotel Santika Luwuk
363,Valdivia,CL,77.0,-39.8142,-73.2459,Hostal Entre Rios
370,Omboue,GA,77.74,-1.5746,9.2618,Hotel Olako
376,Wichian Buri,TH,73.27,15.6578,101.10600000000001,Mit Sali Hotel
377,Dicabisagan,PH,75.83,17.0818,122.4157,Nancy Montanes Bernardo
379,Waw,SS,77.07,7.7029,27.9953,Universal Gab Hotel
380,Tabuk,PH,70.39,17.4189,121.4443,Golden Berries Hotel and Convention
383,Karia,NG,70.02,11.7306,11.1629,
387,Alice Springs,AU,78.8,-23.7,133.8833,Desert Palms Alice Springs
389,Mersing,MY,78.8,2.4312,103.8405,Timotel Hotel
393,Sao Miguel Do Araguaia,BR,82.56,-13.275,-50.1628,Hotel Executivo Palace
395,Muncar,ID,76.08,-8.4333,114.3333,Zaky Homestay
397,Charters Towers,AU,70.93,-20.1,146.2667,Cattleman's Rest Motor Inn
398,Daru,PG,77.97,-9.0763,143.2092,Daru Lodge
399,Lorengau,PG,81.39,-2.0226,147.2712,Lorengau Harbourside Hotel
405,Vila Do Maio,CV,71.6,15.1333,-23.2167,Residence 'I Delfini'
410,Jacareacanga,BR,77.41,-6.2222,-57.7528,Casa do Ian😎
413,Gizo,SB,82.0,-8.103,156.8419,Imagination Island
416,Bairnsdale,AU,82.99,-37.8333,147.6167,Town Central Motel
417,San Policarpo,PH,78.39,12.1791,125.5072,JM Lodge
418,Micheweni,TZ,79.84,-4.9667,39.8333,
419,Nikki,BJ,76.3,9.9401,3.2108,Hotel John
420,Taganak,PH,75.2,6.0833,118.3,Taganak
423,Lazaro Cardenas,MX,81.91,17.9583,-102.2,Collection O Hotel Quinta Antigua
429,Olinda,BR,80.6,-8.0089,-34.8553,Flat Quatro Rodas Olinda
430,Axim,GH,78.73,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
433,Antalaha,MG,75.83,-14.9003,50.2788,Hotel Vitasoa
434,Abong Mbang,CM,71.22,3.9833,13.1833,Auberge Angle Sur
436,Lima,PE,78.8,-12.0432,-77.0282,Gran Hotel Bolivar Lima
437,Eirunepe,BR,82.83,-6.6603,-69.8736,Atrás de você
438,Teluk Nibung,ID,74.34,3.0010000000000003,99.8164,Hotel Assyifa
439,Santa Maria Da Boa Vista,BR,87.22,-8.8078,-39.8256,Fênix Hotel e Restaurante
440,Nueva Loja,EC,84.2,0.0847,-76.8828,Limoncocha Great Hotel
443,Sembakung,ID,75.2,3.8167,117.25,
444,Port-Gentil,GA,80.6,-0.7193,8.7815,Fengshui Residence
447,Aripuana,BR,76.37,-9.1667,-60.6333,
450,Cidreira,BR,78.44,-30.1811,-50.2056,Hotel Castelo
451,Alta Floresta,BR,78.8,-9.8756,-56.0861,Floresta Amazonica Hotel
452,Santiago,CL,90.0,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
453,Whitianga,NZ,73.0,-36.8333,175.7,Beachside Resort Whitianga
454,Saint-Georges,GD,82.4,12.0564,-61.7485,Siesta Hotel
457,Coromandel,BR,74.23,-18.4733,-47.2003,Hotel Dona Adélia
460,Bensonville,LR,78.8,6.4461,-10.6125,
461,Saint-Joseph,RE,78.8,-21.3667,55.6167,"""Plantation Bed and Breakfast"
462,Mogadishu,SO,76.95,2.0371,45.3438,Hotel Juba
465,Atambua,ID,74.62,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
467,Sao Joao Da Barra,BR,80.6,-21.6403,-41.0511,Pousada Porto De Canoas
468,Kisangani,CD,70.86,0.5167,25.2,Grand Ramela Hotel
470,Koppal,IN,71.64,15.35,76.15,Hotel B.S.Pawar Grand
472,Luganville,VU,80.98,-15.5333,167.1667,The Espiritu Hotel
474,Phibun Mangsahan,TH,75.0,15.2447,105.2291,ซันนี่ รีสอร์ท
475,Coahuayana,MX,82.4,18.7333,-103.6833,Hotel Los Arcos
478,Kloulklubed,PW,80.6,7.0419,134.2556,Storyboard Beach Resort
483,Marechal Deodoro,BR,80.6,-9.7103,-35.895,santoriniflats
484,Luanda,AO,78.8,-8.8368,13.2343,EPIC SANA Luanda
486,Ifanadiana,MG,70.75,-21.3,47.6333,
489,Caravelas,BR,78.84,-17.7125,-39.2481,Pousada dos Navegantes
491,Letlhakane,BW,76.1,-21.4167,25.5833,Motswedi Hotel P650
493,San Andres,CO,84.2,12.5847,-81.7006,Hotel Arena Blanca
501,Gigmoto,PH,77.99,13.7796,124.39,Cj's Travellers Inn
503,Pagudpud,PH,73.4,18.5616,120.7868,Saud Beach Resort and Hotel - 2
507,Msanga,TZ,71.6,-6.05,36.0333,
509,Quelimane,MZ,84.2,-17.8786,36.8883,Hotel Flamingo
516,Isangel,VU,77.0,-19.55,169.2667,Volcano Sea View Tree House
517,Moussoro,TD,73.0,13.6408,16.4901,Pharmacie alnadja Moussoro
518,Sinnamary,GF,78.22,5.3833,-52.95,ALETHEIA Appartement Sinnamary
525,Touros,BR,75.2,-5.1989,-35.4608,INN NEW HORIZON
526,Acarau,BR,81.0,-2.8856,-40.12,castelo pizzaria
527,Cartagena Del Chaira,CO,79.41,1.3349,-74.8429,HOTEL LA ROCA
